MCP Server Name,GitHub Repo URL,Description,Category
YepCode,https://github.com/yepcode/mcp-server-js,"Execute any LLM-generated code in the [YepCode](https://yepcode.io) secure and scalable sandbox environment and create your own MCP tools using JavaScript or Python, with full support for NPM and PyPI packages",Code Execution & Sandbox
Zapier,https://zapier.com/mcp,"Connect your AI Agents to 8,000 apps instantly.",Workflow Automation
ZenML,https://github.com/zenml-io/mcp-zenml,Interact with your MLOps and LLMOps pipelines through your [ZenML](https://www.zenml.io) MCP server,ML Pipeline Management
Airtable,https://github.com/domdomegg/airtable-mcp-server,Read and write access to Airtable databases.,Database Management
Agentset,https://github.com/agentset-ai/mcp-server,RAG MCP for your [Agentset](https://agentset.ai/) data.,Blockchain & Crypto
Algorand,https://github.com/GoPlausible/algorand-mcp,A comprehensive MCP server for tooling interactions(40+) and resource accessibility(60+) plus many useful prompts to interact with Algorand Blockchain.,Mobile Device Management
Android MCP,https://github.com/minhalvp/android-mcp-server,"📲 An MCP server that provides control over Android devices through ADB. Offers device screenshot capture, UI layout analysis, package management, and ADB command execution capabilities.",Anime & Media Database
AniList,https://github.com/yuna0x0/anilist-mcp,AniList MCP server for accessing AniList API data,Anime & Media
any-chat-completions-mcp,https://github.com/pyroprompts/any-chat-completions-mcp,"Chat with any other OpenAI SDK Compatible Chat Completions API, like Perplexity, Groq, xAI and more",API Gateway
APISIX-MCP,https://github.com/api7/apisix-mcp,"APISIX Model Context Protocol (MCP) server is used to bridge large language models (LLMs) with the APISIX Admin API, supporting querying and managing all resources in [Apache APISIX](https://github.com/apache/apisix).",Note Taking
Apple Notes,https://github.com/RafalWilinski/mcp-apple-notes,Talk with your Apple Notes,Automation
Apple Shortcuts,https://github.com/recursechat/mcp-server-apple-shortcuts,An MCP Server Integration with Apple Shortcuts,Cloud Infrastructure
AWS EC2 Pricing,https://github.com/trilogy-group/aws-pricing-mcp,Get up-to-date EC2 pricing information with one call. Fast. Powered by a pre-parsed AWS pricing catalogue.,Cloud Infrastructure
Backup,https://github.com/hexitex/MCP-Backup-Server,"Add smart Backup ability to coding agents like Windsurf, Cursor, Cluade Coder, etc",Backup & Recovery
BigQuery,https://github.com/LucasHild/mcp-server-bigquery,(by LucasHild) - BigQuery database integration with schema inspection and query capabilities,Data Warehousing
BigQuery,https://github.com/ergut/mcp-bigquery-server,(by ergut) - Server implementation for Google BigQuery integration that enables direct BigQuery database access and querying capabilities,Data Warehousing
Binary Ninja,https://github.com/fosdickio/binary_ninja_mcp,"A Binary Ninja plugin, MCP server, and bridge that seamlessly integrates [Binary Ninja](https://binary.ninja) with your favorite MCP client.",Development Tools & Reverse Engineering
Bluesky,https://github.com/keturiosakys/bluesky-context-server,integrates with Bluesky API to query and search feeds and posts.,Social Media
BloodHound-MCP,https://github.com/MorDavid/BloodHound-MCP-AI,"(by MorDavid) - integration that connects BloodHound with AI through MCP, allowing security professionals to analyze Active Directory attack paths using natural language queries instead of Cypher.",Security & Active Directory
Box,https://github.com/hmk/box-mcp-server,File access and search for Box.,Cloud Storage
Browser MCP,https://github.com/browsermcp/mcp,Automate your local browser,Browser Automation
bytebase/dbhub,https://github.com/bytebase/dbhub,– 📇 Universal database MCP server supporting mainstream databases.\,Database
Calculator,https://github.com/githejie/mcp-server-calculator,This server enables LLMs to use calculator for precise numerical calculations.,Calculator & Math
Canvas LMS,https://github.com/ahnopologetic/canvas-lms-mcp,MCP server for easy access to education data through your Canvas LMS instance.,Education & LMS
Chaitin IP Intelligence,https://github.com/co0ontty/chaitin-ip-intelligence-search-tool,Search for IP addresses using Chaitin's IP Intelligence API.,Security & IP Intelligence
Chart,https://github.com/antvis/mcp-server-chart,🤖 A Model Context Protocol server for generating visual charts using [AntV](https://github.com/antvis).,Data Visualization
ChuckNorris,https://github.com/pollinations/chucknorris-mcp,A specialized MCP gateway for LLM enhancement prompts and jailbreaks with dynamic schema adaptation. Provides prompts for different LLMs using an enum-based approach.,Humor & Fun Content
clj-kondo-MCP,https://github.com/Bigsy/clj-kondo-MCP,Clojure linter,Development Tools
Clojars,https://github.com/Bigsy/Clojars-MCP-Server,Obtains latest dependency details for Clojure libraries.,Package Management
CoinCap,https://github.com/QuantGeekDev/coincap-mcp,A MCP server that provides real-time cryptocurrency market data through CoinCap's public API without requiring authentication,Financial Data & Crypto
Comet Opik,https://github.com/comet-ml/opik-mcp,"MCP server to talk to your [Opik](https://github.com/comet-ml/opik) cloud or open-source instance to query and analyze LLM traces, metrics and observability.",MLOps & Observability
Contentful,https://github.com/ivo-toby/contentful-mcp,Interact with your content on the Contentful platform,Content Management System
Data Exploration,https://github.com/reading-plus-ai/mcp-server-data-exploration,"MCP server for autonomous data exploration on .csv-based datasets, providing intelligent insights with minimal effort.",Data Analysis
Database,https://github.com/TheRaLabs/legion-mcp,"(by Legion AI) - Universal database MCP server supporting multiple database types including PostgreSQL, Redshift, CockroachDB, MySQL, RDS MySQL, Microsoft SQL Server, BigQuery, Oracle DB, and SQLite",Database
dbt-docs,https://github.com/mattijsdp/dbt-docs-mcp,"MCP server for dbt-core (OSS) users as the official dbt MCP only supports dbt Cloud. Supports project metadata, model and column-level lineage and dbt documentation.",Data Engineering
DeepView MCP,https://github.com/ai-1st/deepview-mcp,Enables IDEs like Cursor and Windsurf to analyze large codebases using Gemini's 1M context window.,Code Analysis
DifyWorkflow,https://github.com/gotoolkits/mcp-difyworkflow-server,Tools to the query and execute of Dify workflows,
Docker,https://github.com/QuantGeekDev/docker-mcp,"Run and manage docker containers, docker compose, and logs",
Email,https://github.com/Shy2593666979/mcp-server-email,"This server enables users to send emails through various email providers, including Gmail, Outlook, Yahoo, Sina, Sohu, 126, 163, and QQ Mail. It also supports attaching files from specified directories, making it easy to upload attachments along with the email content.",
Everything Search,https://github.com/mamertofabian/mcp-everything-search,Fast Windows file search using Everything SDK,Workflow Automation
Exa,https://github.com/theishangoswami/exa-mcp-server,Exa AI Search API,Container Management
Excel,https://github.com/haris-musa/excel-mcp-server,"Excel manipulation including data reading/writing, worksheet management, formatting, charts, and pivot table",Email
Facebook Ads,https://github.com/gomarble-ai/facebook-ads-mcp-server,"MCP server acting as an interface to the Facebook Ads, enabling programmatic access to Facebook Ads data and management features.",File Search
Fathom Analytics,https://github.com/mackenly/mcp-fathom-analytics,Access and analyze Fathom Analytics data and reports,Search Engine
FileScopeMCP,https://github.com/admica/FileScopeMCP,"Analyzes your codebase identifying important files based on dependency relationships. Generates diagrams and importance scores per file, helping AI assistants understand the codebase. Automatically parses popular programming languages, Python, Lua, C, C++, Rust, Zig.",Spreadsheet & Data Analysis
GDB,https://github.com/pansila/mcp_server_gdb,"A GDB/MI protocol server based on the MCP protocol, providing remote application debugging capabilities with AI assistants.",Digital Marketing
Gemsuite,https://github.com/PV-Bhat/gemsuite-mcp,"The ultimate open-source server for advanced Gemini API interaction with MCP, intelligently selects models.",Web Analytics
Gentoro,https://github.com/gentoro-GT/mcp-nodejs-server,Gentoro generates MCP Servers based on OpenAPI specifications.,Code Analysis
godoc-mcp-server,https://github.com/yikakia/godoc-mcp-server,MCP server to provide golang packages and their information from pkg.go.dev,Debugging
Godot MCP,https://github.com/Coding-Solo/godot-mcp,"MCP server for interacting with the Godot game engine, providing tools for editing, running, debugging, and managing scenes in Godot projects.",Game Development
Google Admin MCP,https://github.com/securityfortech/google-admin-mcp,– A Model Context Protocol (MCP) server enabling interaction with Google Admin APIs.,Workspace Administration
Google Keep,https://github.com/feuerdev/keep-mcp,"Read, create, update and delete Google Keep notes.",News & Media
Google News,https://github.com/ChanMeng666/server-google-news,Google News search capabilities with automatic topic categorization and multi-language support via SerpAPI integration.,SEO & Analytics
Google Search Console,https://github.com/ahonn/mcp-server-gsc,A Model Context Protocol (MCP) server providing access to Google Search Console.,Enterprise Messaging
gotoolkits/wecombot,https://github.com/gotoolkits/mcp-wecombot-server.git,🏎️ ☁️ An MCP server application that sends various types of messages to the WeCom group robot.,Code Execution & Sandbox
Gru Sandbox,https://github.com/babelcloud/gru-sandbox,Gru-sandbox(gbox) is an open source project that provides a self-hostable sandbox for MCP integration or other AI agent usecases.,Knowledge Management
HackMD,https://github.com/yuna0x0/hackmd-mcp,A Model Context Protocol server for integrating [HackMD](https://hackmd.io)'s note-taking platform with AI assistants.,API Integration & Automation
Hippycampus,https://github.com/cromwellian/hippycampus,Turns any Swagger/OpenAPI REST endpoint with a yaml/json definition into an MCP Server with Langchain/Langflow integration automatically.,API Integration
Home Assistant,https://github.com/voska/hass-mcp,"Interact with Home Assistant to control smart home devices, query states, manage automations, and troubleshoot your smart home setup.",Smart Home & IoT
HuggingFace Spaces,https://github.com/evalstate/mcp-hfspace,"Server for using HuggingFace Spaces, supporting Images, Audio, Text and more. Claude Desktop mode for ease-of-use.",Workflow Automation
interactive-mcp,https://github.com/ttommyth/interactive-mcp,📇 - Enables interactive LLM workflows by adding local user prompts and chat capabilities directly into the MCP loop.,Container Management
IDA Pro MCP,https://github.com/mrexodia/ida-pro-mcp,MCP Server for automated reverse engineering with IDA Pro.,Development Tools & Reverse Engineering
Jina Reader,https://github.com/wong2/mcp-jina-reader,Fetch the content of a remote URL as Markdown with Jina Reader.,Web Scraping & Content
Jira Context MCP,https://github.com/rahulthedevil/Jira-Context-MCP,MCP server to provide Jira Tickets information to AI coding agents like Cursor.,Project Management
JSON MCP,https://github.com/VadimNastoyashchy/json-mcp,"MCP server empowers LLMs to interact with JSON files efficiently. With JSON MCP, you can split, merge, etc.",Data Format Conversion
Kagi,https://github.com/ac3xx/mcp-servers-kagi,Kagi search API integration,Search Engine
Kubernetes,https://github.com/Flux159/mcp-server-kubernetes,"Connect to Kubernetes cluster and manage pods, deployments, services.",Container Orchestration
Language Server,https://github.com/isaacphi/mcp-language-server,"🏎️ - MCP Language Server gives MCP enabled clients access to semantic tools like get definition, references, rename, and diagnostics.",Development Tools
Linear,https://github.com/tacticlaunch/mcp-linear,Integrates with Linear project management systems.,Project Management
llm-context,https://github.com/cyberchitta/llm-context.py,Share code context with LLMs via Model Context Protocol or clipboard.,Code Context Sharing
Make,https://github.com/integromat/make-mcp-server,Turn your Make scenarios into callable tools for AI assistants.,Workflow Automation
Maven,https://github.com/Bigsy/maven-mcp-server,Tools to query latest Maven dependency information,Development Tools & Package Management
Maya MCP,https://github.com/PatrickPalmer/MayaMCP,MCP server for Autodesk Maya,3D Modeling & Design
Microsoft 365,https://github.com/softeria/ms-365-mcp-server,"📇 ☁️ - MCP server that connects to the whole Microsoft 365 suite using Graph API (including mail, files, Excel, calendar)",Productivity & Office Suite
Microsoft Entra ID MCP Server,https://github.com/hieuttmmo/entraid-mcp-server,"A Python MCP server for Microsoft Entra ID (Azure AD) directory, user, group, device, sign-in, and security operations via Microsoft Graph.",Identity & Access Management
MCP Aggregator,https://github.com/nazar256/combine-mcp,An MCP (Model Context Protocol) aggregator that allows you to combine multiple MCP servers into a single endpoint allowing to filter specific tools.,MCP Server Management
MCP-CLI Adapter,https://github.com/inercia/mcp-cli-adapter,Use command line tools in a secure fashion as MCP tools.,Command Line Tools
MCP Expr Lang,https://github.com/ivan-saorin/mcp-expr-lang,MCP Expr-Lang provides a seamless integration between Claude AI and the powerful expr-lang expression evaluation engine.,Expression Evaluation
MCP Installer,https://github.com/anaisbetts/mcp-installer,Set up MCP servers in Claude Desktop,MCP Server Management
mcp-k8s-go,https://github.com/strowk/mcp-k8s-go,Golang-based Kubernetes MCP Server. Built to be extensible.,Container Orchestration
MCP Open Library,https://github.com/8enSmith/mcp-open-library,A Model Context Protocol (MCP) server for the Open Library API that enables AI assistants to search for book and author information.,Digital Library
MCP-SearXNG-Enhanced Web Search,https://github.com/OvertliDS/mcp-searxng-enhanced,"An enhanced MCP server for SearXNG web searching, utilizing a category-aware web-search, web-scraping, and includes a date/time retrieval tool.",Search Engine
Minima,https://github.com/dmayboroda/minima,Local RAG (on-premises) with MCP server.,Knowledge Management & RAG
Mongo,https://github.com/QuantGeekDev/mongo-mcp,A Model Context Protocol (MCP) server that enables LLMs to interact directly with MongoDB databases,Database
MongoDB,https://github.com/kiliczsh/mcp-mongo-server,A Model Context Protocol Server for MongoDB,Database
MongoDB Lens,https://github.com/furey/mongodb-lens,Full Featured MCP Server for MongoDB Database.,Database
Miro,https://github.com/k-jarzyna/mcp-miro,"Miro MCP server, exposing all functionalities available in official Miro SDK.",Collaboration & Whiteboard
MySQL,https://github.com/designcomputer/mysql_mcp_server,MySQL database integration with configurable access controls and schema inspection,Database
Netbird,https://github.com/aantti/mcp-netbird,"List and analyze Netbird network peers, groups, policies, and more.",Network Management
Nextcloud Calendar,https://github.com/Cheffromspace/mcp-nextcloud-calendar,"CalDAV Nectcloud calendar integration. Manage calendars, events, attendees, etc.",Calendar & Scheduling
Nile Postgres,https://github.com/niledatabase/nile-mcp-server,"Manage and query databases, tenants, users, auth using LLMs",Database
NocoDB,https://github.com/edwinbernadus/nocodb-mcp-server,"Manage NocoDB server, support read and write databases",Database & CMS
Notion,https://github.com/danhilse/notion_mcp,Integrates with Notion's API to manage personal todo list,Knowledge Management
NPM Search,https://github.com/btwiuse/npm-search-mcp-server,Search for npm packages,Package Management
Obsidian,https://github.com/MarkusPfundstein/mcp-obsidian,Interacting with Obsidian via REST API,Note Taking & Knowledge Base
OpenAI,https://github.com/pierrebrunelle/mcp-server-openai,Query OpenAI models directly from Claude using MCP protocol,AI Models & APIs
OpenAPI Schema Explorer,https://github.com/kadykov/mcp-openapi-schema-explorer,Token-efficient access to OpenAPI/Swagger specs via MCP Resources,API Documentation
Pandoc,https://github.com/vivekVells/mcp-pandoc,"MCP server for seamless document format conversion using Pandoc, supporting Markdown, HTML, and plain text, with other formats like PDF, csv and docx in development.",Document Conversion
PBS API,https://github.com/matthewdcage/pbs-mcp-server,"🐍 ☁️ Access Australian Pharmaceutical Benefits Scheme data for medicine information, pricing, and availability. Built with Python and FastAPI.",Healthcare & Pharmaceuticals
Perplexity,https://github.com/tanigami/mcp-server-perplexity,Interacting with Perplexity,Search Engine
Pollinations,https://github.com/pollinations/model-context-protocol,"Multimodal MCP server for generating images, audio, and text with no authentication required",Media Generation
Phabricator,https://github.com/baba786/phabricator-mcp-server,Interacting with Phabricator API,Media Generation
PiAPI,https://github.com/apinetwork/piapi-mcp-server,PiAPI MCP server makes user able to generate media content with Midjourney/Flux/Kling/Hunyuan/Udio/Trellis directly from Claude or any other MCP-compatible apps.,Web Automation
Playwright MCP Server,https://github.com/executeautomation/mcp-playwright,An MCP server using Playwright for browser automation and webscrapping,GIS & Mapping
QGIS,https://github.com/jjsantos01/qgis_mcp,"connects QGIS Desktop to Claude AI through the MCP. This integration enables prompt-assisted project creation, layer loading, code execution, and more.",Incident Management
Rootly-AI-Labs/Rootly-MCP-server,https://github.com/Rootly-AI-Labs/Rootly-MCP-server,MCP server for the incident management platform [Rootly](https://rootly.com/).,Web Search & Data
Search1API,https://github.com/fatwang2/search1api-mcp,Search and crawl in one API,Search Engine
SearXNG,https://github.com/ihor-sokoliuk/mcp-searxng,A Model Context Protocol Server for [SearXNG](https://docs.searxng.org),Search Engine
Secure Fetch,https://github.com/appsec-innovation-labs/secure-mcp-fetch,Secure fetch to prevent access to local resources,Web Scraping & Security
shadcn-ui-mcp-server,https://github.com/heilgar/shadcn-ui-mcp-server,"A powerful and flexible MCP server designed to enhance the development experience with Shadcn UI components, providing tools for component management, documentation, and installation.",UI Development
Slack,https://github.com/korotovsky/slack-mcp-server,"The most powerful MCP server for Slack Workspaces. This integration supports both Stdio and SSE transports, proxy settings and does not require any permissions or bots being created or approved by Workspace admins 😏.",Team Communication
Snowflake,https://github.com/isaacwasserman/mcp-snowflake-server,Snowflake database integration with read/write capabilities and insight tracking,Data Warehousing
Skyvern,https://github.com/Skyvern-AI/skyvern/tree/main/integrations/mcp,MCP Server to let Claude / your AI control the browser,Web Automation
spm-mcp,https://github.com/simpleswift/spm-mcp,iOS Swift Package Manager server written in Swift,Package Management
Squad AI,https://github.com/the-basilisk-ai/squad-mcp,"– Product‑discovery and strategy platform integration. Create, query and update opportunities, solutions, outcomes, requirements and feedback from any MCP‑aware LLM.",Product Management
TikTok,https://github.com/Seym0n/tiktok-mcp,TikTok integration for getting post details and video subtitles,Social Media
Todoist,https://github.com/stanislavlysenko0912/todoist-mcp-server,Full implementation of Todoist Rest API for MCP server,Project Management
Trello,https://github.com/m0xai/trello-mcp-server,"Trello integration for working with boards, lists in boards and cards in lists.",Project Management
Terragrunt-Docs,https://github.com/Excoriate/mcp-terragrunt-docs,Terragrunt documentation always up to date.,Infrastructure as Code
Trino MCP Server,https://github.com/tuannvm/mcp-trino,"A Go implementation of a Model Context Protocol (MCP) server for Trino, enabling LLM models to query distributed SQL databases through standardized tools.",Database & SQL
Unity3d Game Engine,https://github.com/CoderGamester/mcp-unity,MCP Server to control and interact with Unity3d Game Engine for game development,Game Development
User Feedback,https://github.com/mrexodia/user-feedback-mcp,Simple MCP Server to enable a human-in-the-loop workflow in tools like Cline and Cursor.,Human Feedback & Oversight
User Prompt MCP,https://github.com/nazar256/user-prompt-mcp,An MCP server for Cursor that enables requesting user input during generation process.,User Interaction
Vectorize,https://github.com/vectorize-io/vectorize-mcp-server/,"[Vectorize](https://vectorize.io) MCP server for advanced retrieval, Private Deep Research, Anything-to-Markdown file extraction and text chunking.",Vector Database & RAG
Vega-Lite,https://github.com/isaacwasserman/mcp-vegalite-server,Generate visualizations from fetched data using the VegaLite format and renderer.,Data Visualization
Vibe Check,https://github.com/PV-Bhat/vibe-check-mcp-server,"The definitive Vibe Coder's sanity check MCP server: Prevents cascading errors by calling a ""Vibe-check"" agent to ensure alignment and prevent scope creep",Quality Assurance
WebSearch-MCP,https://github.com/mnhlt/WebSearch-MCP,Self-hosted Websearch API,Web Search
weibaohui/k8m,https://github.com/weibaohui/k8m,"Provides multi-cluster Kubernetes management and operations using MCP, featuring a management interface, logging, and nearly 50 built-in tools covering common DevOps and development scenarios. Supports both standard and CRD resources.",Container Orchestration
weibaohui/kom,https://github.com/weibaohui/kom,"Provides multi-cluster Kubernetes management and operations using MCP, It can be integrated as an SDK into your own project and includes nearly 50 built-in tools covering common DevOps and development scenarios. Supports both standard and CRD resources.",Container Orchestration
Whois MCP,https://github.com/bharathvaj-ganesan/whois-mcp,"MCP server that performs whois lookup against domain, IP, ASN and TLD.",Domain Information
Windows CLI,https://github.com/SimonB97/win-cli-mcp-server,"MCP server for secure command-line interactions on Windows systems, enabling controlled access to PowerShell, CMD, and Git Bash shells.",Command Line & Terminal
Windows Control,https://github.com/Cheffromspace/nutjs-windows-control,"Programmatic control over Windows system operations including mouse, keyboard, window management, and screen capture using nut.js.",Desktop Automation
xcodebuild,https://github.com/ShenghaiWang/xcodebuild,🍎 Build iOS Xcode workspace/project and feed back errors to llm.,iOS Development
YouTube,https://github.com/anaisbetts/mcp-youtube,Fetch YouTube subtitles,Video Platform
mcp-cli,https://github.com/wong2/mcp-cli,a cli inspector for MCP servers,Development Tools
mcp-client,https://github.com/rakesh-eltropy/mcp-client,"MCP REST API and CLI client for interacting with MCP servers, supports OpenAI, Claude, Gemini, Ollama etc.",MCP Client
MCP-Bridge,https://github.com/SecretiveShell/MCP-Bridge,🐍 an openAI middleware proxy to use mcp in any existing openAI compatible client,MCP Integration
MCP-Chatbot,https://github.com/3choff/mcp-chatbot,A simple yet powerful ⭐ CLI chatbot that integrates tool servers with any OpenAI-compatible LLM API.,Chatbot & LLM Integration
Zed,https://github.com/zed-industries/zed,multiplayer code editor from the creators of atom,Code Editor & Development
genkit,https://github.com/firebase/genkit,agent and data transformation framework,AI Development Framework
Continue,https://github.com/continuedev/continue,vscode auto complete and chat tool (full feature support),Code Editor & Development
gpt-computer-assistant,https://github.com/Upsonic/gpt-computer-assistant,"dockerized mcp client with Anthropic, OpenAI and Langchain.",AI Assistant & Integration
MCP-Connect,https://github.com/EvalsOne/mcp-connect,A client that enables cloud-based AI services to access local Stdio based MCP servers by HTTP/HTTPS requests.,MCP Integration
codemirror-mcp,https://github.com/marimo-team/codemirror-mcp,CodeMirror extension that implements the Model Context Protocol (MCP) for resource mentions and prompt commands.,Code Editor & Development
LibreChat,https://www.librechat.ai/,"Open-source AI Web UI, supporting multiple providers including OpenAI, Anthropic, Google, Ollama, and local models. Includes MCP support for Agents.",AI Chat Interface
mcphub.nvim,https://github.com/ravitemer/mcphub.nvim,A Neovim plugin that provides a UI and api to interact with MCP servers.,IDE Integration
Nerve,https://github.com/evilsocket/nerve,is an open source command line tool designed to be a simple yet powerful platform for creating and executing MCP integrated LLM-based agents.,AI Agent Platform
create-mcp-ts,https://github.com/stephencme/create-mcp-ts,"Create a new MCP server in TypeScript, batteries included - supports user-defined templates!",MCP Development
LiteMCP,https://github.com/wong2/litemcp,A TypeScript framework for building MCP servers elegantly,MCP Development Framework
mcp-framework,https://github.com/QuantGeekDev/mcp-framework,Fast and elegant Typescript framework for building MCP servers,MCP Development Framework
oatpp-mcp,https://github.com/oatpp/oatpp-mcp,Anthropic's Model Context Protocol implementation for Oat++,MCP Development Framework
centralmind/gateway,https://github.com/centralmind/gateway,"CLI that generates MCP tools based on your Database schema and data using AI and host as REST, MCP or MCP-SSE server",MCP & Database Integration
ToolHive,https://github.com/StacklokLabs/toolhive,"A lightweight utility designed to simplify the deployment and management of MCP servers, ensuring ease of use, consistency, and security through containerization",MCP Server Management
Salesforce MCP Server,https://github.com/kablewy/salesforce-mcp-server,A Model Context Protocol server implementation for interacting with Salesforce through its REST API using jsforce,CRM
Salesforce MCP Server,https://github.com/kablewy/salesforce-mcp-server,A Model Context Protocol server implementation for interacting with Salesforce through its REST API using jsforce,CRM
HubSpot MCP Server,https://www.npmjs.com/package/@hubspot/mcp-server,Official HubSpot MCP server enabling AI clients to interact with HubSpot data and perform CRM operations through a standardized interface,CRM
Microsoft 365 MCP Server,https://github.com/softeria/ms-365-mcp-server,A Model Context Protocol server for interacting with Microsoft 365 services through the Graph API,Office Suite
Monday.com MCP Server,https://github.com/sakce/mcp-server-monday,"MCP Server for monday.com , enabling MCP clients to interact with Monday.com boards, items, updates, and documents",Project Management
Asana MCP Server,https://github.com/roychri/mcp-server-asana,"MCP server implementation for Asana that allows interaction with Asana API from MCP clients to manage tasks, projects, and workspaces",Project Management
Zendesk MCP Server,https://github.com/reminia/zendesk-mcp-server,"A Model Context Protocol server for Zendesk providing tools for retrieving and managing tickets, users, and other Zendesk resources",Customer Support
Pipedrive MCP Server,https://github.com/WillDent/pipedrive-mcp-server,"A Model Context Protocol server that connects to the Pipedrive API v2 , allowing you to expose Pipedrive CRM data and functionality to LLM applications",CRM